model_id_nativeness,model_comparison_id,analysis_group,nativeness_var,site_id,species_response,time_series,analysis_group_category,exclusion,random_effect,min_refs,n_levels,min_obs,max_obs,max_refs,formula_nativeness,formula_null,model_path_nativeness,model_path_null,i2_nativeness,i2_null,BIC_nativeness,BIC_null,min_sigma_nativeness,min_sigma_null,sum_sigma_nativeness,sum_sigma_null,model_id_null,overfit,min_BIC,delta_BIC,preferred_model,LRT,LRT_pval,I2_star,R2_cond,prop_variance_reduced
"model_1013","Vertebrate_Abundance_Herbivore_nativeness","Vertebrate_Abundance","Herbivore_nativeness","yes","no","no","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID, ~1 | site_id)",7,2,37,251,27," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1013.Rds","outputs/revision/models/model_493.Rds",80.797528366267,80.9497317334647,696.378727372589,691.027808897594,0.027043160046559,0.0262077268808964,0.299886816112829,0.302610998968287,"model_493","no",667.111737620427,29.2669897521621,"no",0.312042005140825,0.576429824364223,0.16826725273172,0.561401479243119,0.00900225988065802
"model_1014","Vertebrate_Abundance_Herbivore_nativeness","Vertebrate_Abundance","Herbivore_nativeness","yes","no","yes","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",7,2,37,251,27," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1014.Rds","outputs/revision/models/model_494.Rds",54.5329472315112,56.6693638547448,692.806436116918,687.665791147191,1.33512958206782e-09,8.30340551766451e-10,0.0854827718383003,0.0931373042463838,"model_494","no",667.111737620427,25.694698496491,"no",0.522315510409499,0.469855619093537,0.233338876268807,0.834200089443445,0.0821854623130848
"model_1015","Vertebrate_Abundance_Herbivore_nativeness","Vertebrate_Abundance","Herbivore_nativeness","yes","yes","no","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id)",7,2,37,251,27," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1015.Rds","outputs/revision/models/model_495.Rds",82.699956833074,83.1302685864335,671.597038727945,667.051846403979,1.38327599847135e-09,1.61533648907584e-09,0.340701876811667,0.350930735574623,"model_495","no",667.111737620427,4.48530110751813,"no",1.11776815617009,0.29039953565415,0.512405011922145,1.49070727541861,0.0291477996254918
"model_1016","Vertebrate_Abundance_Herbivore_nativeness","Vertebrate_Abundance","Herbivore_nativeness","yes","yes","yes","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",7,2,37,251,27," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1016.Rds","outputs/revision/models/model_496.Rds",80.4838907633037,80.9922976644491,678.300193456859,673.725010870799,2.47293717734832e-11,1.32245572565022e-10,0.293922039502447,0.303448146131112,"model_496","no",667.111737620427,11.1884558364321,"no",1.08777789407634,0.296964080608159,0.494213872189589,1.43462803520089,0.0313928648110743
"model_1017","Vertebrate_Abundance_Invasive","Vertebrate_Abundance","Invasive","no","no","no","Vertebrates","!is.na(Invasive) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID)",5,2,30,251,27," ~ Invasive"," ~ 1","outputs/revision/models/model_1017.Rds","outputs/revision/models/model_497.Rds",81.0742631918619,81.1445167264493,674.841010887734,669.300466897578,0.148824336515838,0.149214017330676,0.302944075867303,0.304135455277926,"model_497","no",646.353057424303,28.4879534634317,"no",0.0978106791772007,0.754472892884192,0.0589828159021795,0.198499838662483,0.003917265777297
"model_1018","Vertebrate_Abundance_Invasive","Vertebrate_Abundance","Invasive","no","no","yes","Vertebrates","!is.na(Invasive) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID, ~time_series_clean | experiment_id)",5,2,30,251,27," ~ Invasive"," ~ 1","outputs/revision/models/model_1018.Rds","outputs/revision/models/model_498.Rds",53.5116286423786,55.7884898078799,666.777654941934,661.457387589999,3.24155207544045e-10,4.19411482723394e-10,0.0814021896831489,0.0891773981580678,"model_498","no",646.353057424303,20.4245975176317,"no",0.318087317398749,0.572759370691873,0.141969923887597,0.51862613735259,0.0871881063533309
"model_1019","Vertebrate_Abundance_Invasive","Vertebrate_Abundance","Invasive","no","yes","no","Vertebrates","!is.na(Invasive) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID)",5,2,30,251,27," ~ Invasive"," ~ 1","outputs/revision/models/model_1019.Rds","outputs/revision/models/model_499.Rds",83.318185133108,83.6863130262269,646.353057424303,641.867940549906,0.00640908052542545,0.0162416877258471,0.35320655453126,0.362533256058592,"model_499","no",646.353057424303,0,"yes",1.15323779493701,0.282872390081406,0.513971276108796,1.46474422066098,0.0257264716311301
"model_1020","Vertebrate_Abundance_Invasive","Vertebrate_Abundance","Invasive","no","yes","yes","Vertebrates","!is.na(Invasive) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~time_series_clean | experiment_id)",5,2,30,251,27," ~ Invasive"," ~ 1","outputs/revision/models/model_1020.Rds","outputs/revision/models/model_500.Rds",81.6284431584622,82.0323574609462,651.868099569447,647.350259609344,3.67601396557301e-10,2.87666493060177e-10,0.3142156433386,0.322655918373141,"model_500","no",646.353057424303,5.51504214514409,"no",1.12051470923143,0.289807650734686,0.492653735673073,1.39986129914922,0.0261587485427136
"model_1021","Vertebrate_Abundance_Invasive","Vertebrate_Abundance","Invasive","yes","no","no","Vertebrates","!is.na(Invasive) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID, ~1 | site_id)",5,2,30,251,27," ~ Invasive"," ~ 1","outputs/revision/models/model_1021.Rds","outputs/revision/models/model_501.Rds",80.8405562366747,80.9439305232034,679.249809294283,673.788776423072,0.0299301393545257,0.0292519034617949,0.298386140163401,0.300190195504672,"model_501","no",646.353057424303,32.8967518699809,"no",0.177321798122534,0.67368501969147,0.114180962281683,0.38938634562025,0.00600970773957934
"model_1022","Vertebrate_Abundance_Invasive","Vertebrate_Abundance","Invasive","yes","no","yes","Vertebrates","!is.na(Invasive) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",5,2,30,251,27," ~ Invasive"," ~ 1","outputs/revision/models/model_1022.Rds","outputs/revision/models/model_502.Rds",53.4921833619558,55.7740441261356,671.223134622073,665.990328114295,4.66553046232508e-10,3.77632929132874e-10,0.0813385868916129,0.0891251860766809,"model_502","no",646.353057424303,24.8700771977701,"no",0.405548161555998,0.524237775534309,0.192137043303269,0.706623634766721,0.0873669893756919
"model_1023","Vertebrate_Abundance_Invasive","Vertebrate_Abundance","Invasive","yes","yes","no","Vertebrates","!is.na(Invasive) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id)",5,2,30,251,27," ~ Invasive"," ~ 1","outputs/revision/models/model_1023.Rds","outputs/revision/models/model_503.Rds",83.2025374477161,83.5487608641051,650.780663667172,645.962006797339,1.94343519167044e-09,2.62058478264399e-09,0.350287903199253,0.358911141156765,"model_503","no",646.353057424303,4.42760624286973,"no",0.819697799500318,0.36526853696268,0.411987694305184,1.18722288710089,0.0240261083278692
"model_1024","Vertebrate_Abundance_Invasive","Vertebrate_Abundance","Invasive","yes","yes","yes","Vertebrates","!is.na(Invasive) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",5,2,30,251,27," ~ Invasive"," ~ 1","outputs/revision/models/model_1024.Rds","outputs/revision/models/model_504.Rds",81.4774444547821,81.8681616737958,656.275785012898,651.435550587731,2.69130577677745e-10,2.55488328133123e-10,0.31107760242026,0.319094076664634,"model_504","no",646.353057424303,9.92272758859554,"no",0.798120244167194,0.371655980508968,0.39504617122082,1.13511862219517,0.0251226043684866
"model_1025","Vertebrate_Diversity_Africa_Comparison","Vertebrate_Diversity","Africa_Comparison","no","no","no","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / data_point_ID)",3,2,14,19,3," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1025.Rds","outputs/revision/models/model_505.Rds",81.8859403328043,83.4722397713953,89.7526326772092,87.8800274682493,1.43591915344485e-10,4.63691373373133e-09,0.241471417097248,0.258154381073153,"model_505","no",89.7526326772092,0,"yes",1.62390235250652,0.202548517626175,1.10109464637945,7.79274023131141,0.0646239816134557
"model_1026","Vertebrate_Diversity_Africa_Comparison","Vertebrate_Diversity","Africa_Comparison","no","no","yes","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / data_point_ID, ~time_series_clean | experiment_id)",3,2,14,19,3," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1026.Rds","outputs/revision/models/model_506.Rds",72.943181701677,78.9544642440458,95.9356910461892,94.4751474338565,1.21436578099278e-10,0.00309316998713988,0.144005858938376,0.191764468712906,"model_506","no",89.7526326772092,6.18305836897996,"no",2.03596394913383,0.153616768212613,1.35476477354911,9.2089377196527,0.249048273098135
"model_1027","Vertebrate_Diversity_Africa_Comparison","Vertebrate_Diversity","Africa_Comparison","no","yes","no","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / species_response_tag / data_point_ID)",3,2,14,19,3," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1027.Rds","outputs/revision/models/model_507.Rds",81.8859403464921,83.4722358936498,93.2491402429364,91.3765350289256,1.42265864269673e-11,2.61258234714607e-10,0.241471417320079,0.258154308512258,"model_507","no",89.7526326772092,3.49650756572723,"no",1.62390234745561,0.202548518328234,1.10109464441181,7.79274021184028,0.0646237178388487
"model_1028","Vertebrate_Diversity_Africa_Comparison","Vertebrate_Diversity","Africa_Comparison","no","yes","yes","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / species_response_tag / data_point_ID, ~time_series_clean | experiment_id)",3,2,14,19,3," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1028.Rds","outputs/revision/models/model_508.Rds",72.9433296185806,72.8202680430375,99.4322014300638,97.7018492484015,3.6229888236905e-09,5.20757532621333e-10,0.14400693823027,0.136948897527669,"model_508","no",89.7526326772092,9.67956875285458,"no",1.76615537980422,0.183858597631517,1.35476442611488,9.20893996962419,-0.0515377694163293
"model_1029","Vertebrate_Diversity_Africa_Comparison","Vertebrate_Diversity","Africa_Comparison","yes","no","no","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / data_point_ID, ~1 | site_id)",3,2,14,19,3," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1029.Rds","outputs/revision/models/model_509.Rds",81.885940334392,83.4722397616973,93.2491402410557,91.3765350277121,6.15817188151158e-11,1.76117949178532e-09,0.241471417123096,0.258154380891683,"model_509","no",89.7526326772092,3.49650756384644,"no",1.62390234812297,0.202548518235474,1.10109464630592,7.7927402300624,0.0646239808558071
"model_1030","Vertebrate_Diversity_Africa_Comparison","Vertebrate_Diversity","Africa_Comparison","yes","no","yes","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",3,2,14,19,3," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1030.Rds","outputs/revision/models/model_510.Rds",72.9432367484307,78.9543869698022,99.432198607672,97.9716550011563,2.71805531872716e-11,1.48789219272665e-08,0.144006260591667,0.191763576918729,"model_510","no",89.7526326772092,9.67956593046277,"no",2.03596395495079,0.153616767624966,1.35476388398065,9.20893359327599,0.249042686282923
"model_1031","Vertebrate_Diversity_Africa_Comparison","Vertebrate_Diversity","Africa_Comparison","yes","yes","no","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id)",3,2,14,19,3," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1031.Rds","outputs/revision/models/model_511.Rds",81.8859403425234,83.4722399420443,96.7456478043274,94.8730425891581,2.58143545663641e-11,4.58347685300614e-10,0.241471417255471,0.25815438426636,"model_511","no",89.7526326772092,6.99301512711823,"no",1.62390234629714,0.202548518489257,1.10109464485966,7.79274021668536,0.0646239925705704
"model_1032","Vertebrate_Diversity_Africa_Comparison","Vertebrate_Diversity","Africa_Comparison","yes","yes","yes","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",3,2,14,19,3," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1032.Rds","outputs/revision/models/model_512.Rds",76.308424373975,72.8203092840212,103.025990825045,101.198356808594,3.43372626483993e-12,7.57729009116107e-11,0.17204843468071,0.136949182886141,"model_512","no",89.7526326772092,13.2733581478361,"no",1.66887354501556,0.196409481762279,1.33891971040141,9.18555944156029,-0.256293984782303
"model_1033","Vertebrate_Diversity_Herbivore_nativeness","Vertebrate_Diversity","Herbivore_nativeness","no","no","no","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / data_point_ID)",3,2,19,57,11," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1033.Rds","outputs/revision/models/model_513.Rds",57.7581369033687,62.6230914165018,134.101850619633,132.722650873152,3.88018490637413e-11,0.000969516655398052,0.0491665485467353,0.0603590374054538,"model_513","no",134.101850619633,0,"yes",2.95153359380538,0.0857961059904993,0.515326480871269,9.13253728121682,0.185431864718691
"model_1034","Vertebrate_Diversity_Herbivore_nativeness","Vertebrate_Diversity","Herbivore_nativeness","no","no","yes","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / data_point_ID, ~time_series_clean | experiment_id)",3,2,19,57,11," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1034.Rds","outputs/revision/models/model_514.Rds",47.7011171490539,55.9991708070116,142.420660676612,141.155930891198,4.39738620254006e-11,0.00106681600047222,0.0327971230533613,0.0458492162336745,"model_514","no",134.101850619633,8.31881005697926,"no",3.06600355487211,0.0799457843496072,0.528441937790062,9.18911559679615,0.284674292223276
"model_1035","Vertebrate_Diversity_Herbivore_nativeness","Vertebrate_Diversity","Herbivore_nativeness","no","yes","no","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / species_response_tag / data_point_ID)",3,2,19,57,11," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1035.Rds","outputs/revision/models/model_515.Rds",57.7581369216602,62.6229503335594,138.432583964142,137.053384226852,2.38249622242805e-11,1.54418075276503e-10,0.0491665485835958,0.0603586735932247,"model_515","no",134.101850619633,4.33073334450907,"no",2.95153360299685,0.0857961055025733,0.515326480910791,9.13253727563182,0.185426954294192
"model_1036","Vertebrate_Diversity_Herbivore_nativeness","Vertebrate_Diversity","Herbivore_nativeness","no","yes","yes","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / species_response_tag / data_point_ID, ~time_series_clean | experiment_id)",3,2,19,57,11," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1036.Rds","outputs/revision/models/model_516.Rds",47.700424476962,55.9994530307846,146.751394017379,145.486664250947,1.89522753781512e-11,3.14598659933184e-10,0.0327962124343247,0.0458497413866591,"model_516","no",134.101850619633,12.6495433977466,"no",3.06600357385389,0.0799457834159525,0.528441922072361,9.18911246378464,0.28470234635026
"model_1037","Vertebrate_Diversity_Herbivore_nativeness","Vertebrate_Diversity","Herbivore_nativeness","yes","no","no","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / data_point_ID, ~1 | site_id)",3,2,19,57,11," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1037.Rds","outputs/revision/models/model_517.Rds",57.7580815919506,61.9255345732017,138.432583965228,136.79449473571,3.69041956603113e-11,8.2696721712559e-11,0.0491664370845106,0.0585931882931988,"model_517","no",134.101850619633,4.33073334559583,"no",2.69264411076807,0.100812399286022,0.515326616397881,9.13255827668854,0.160884762944064
"model_1038","Vertebrate_Diversity_Herbivore_nativeness","Vertebrate_Diversity","Herbivore_nativeness","yes","no","yes","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",3,2,19,57,11," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1038.Rds","outputs/revision/models/model_518.Rds",47.7019406875735,55.0053717706292,146.751394024548,145.203803015661,2.01078961466837e-11,2.55799249495698e-08,0.0327982057468955,0.0440408423631474,"model_518","no",134.101850619633,12.6495434049155,"no",2.78314233139875,0.0952610974803926,0.528440505009952,9.18897603671567,0.255277510896558
"model_1039","Vertebrate_Diversity_Herbivore_nativeness","Vertebrate_Diversity","Herbivore_nativeness","yes","yes","no","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id)",3,2,19,57,11," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1039.Rds","outputs/revision/models/model_519.Rds",57.7581382784415,61.9255033486021,142.763317306012,141.125228078799,1.96843958905782e-11,3.91425099785805e-12,0.0491665513177521,0.0585931106970669,"model_519","no",134.101850619633,8.66146668637933,"no",2.6926441130729,0.100812399140221,0.515326476881359,9.13253674926369,0.160881702083563
"model_1040","Vertebrate_Diversity_Herbivore_nativeness","Vertebrate_Diversity","Herbivore_nativeness","yes","yes","yes","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Diversity'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",3,2,19,57,11," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1040.Rds","outputs/revision/models/model_520.Rds",47.7011766025992,55.0056495510017,151.082127353278,149.534533425153,5.61475997112947e-12,1.67560906211242e-11,0.0327972012148888,0.0440413366670987,"model_520","no",134.101850619633,16.9802767336457,"no",2.78313941216135,0.0952612710847109,0.528441484705484,9.18909888307751,0.255308678235688
