response_key,Response_Highest_Level,Response_Cat,Response_Sphere,Species_Class,Species_Nativeness,Strata_or_soil_depth,woody_height_class,age_class,Species_Level,Species,Response,Units,Response_Dimension,Response_Living,analysis_group_category,eco_response_coarse,eco_response_fine,eco_response_fine2,eco_response_fine3,eco_response_fine4
response combo 11,DIVERSITY,Diversity_Metrics,vegetation,Forbs,Unspecified,10 cm,,,Higher,Forbs,Relative number of species (%),%,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 12,DIVERSITY,Diversity_Metrics,vegetation,Sedges,Unspecified,10 cm,,,Higher,Sedges,Relative number of species (%),%,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 13,DIVERSITY,Diversity_Metrics,vegetation,Shrubs,Unspecified,10 cm,,,Higher,Shrubs,Relative number of species (%),%,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 14,DIVERSITY,Diversity_Metrics,vegetation,Trees,Unspecified,10 cm,,,Higher,Trees,Relative number of species (%),%,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 15,DIVERSITY,Diversity_Metrics,vegetation,Succulents,Unspecified,10 cm,,,Higher,Succulents,Relative number of species (%),%,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 16,SOIL_NUTRIENTS,Total_N,soil,nutrients,Unspecified,0-10 cm,,,,Soil,N (mg/kg),mg/kg,Belowground,Abiotic,Soil,Soil_Total_N,,,,
response combo 17,SOIL_NUTRIENTS,Total_P,soil,nutrients,Unspecified,0-10 cm,,,,Soil,P (mg/kg),mg/kg,Belowground,Abiotic,Soil,Soil_Total_P,,,,
response combo 18,,Morphology,vegetation,Forb,Reported_Native,,,,Species,Parthenium integrifolium,Number of flowering stems / plot,density,Aboveground,,,,,,,
response combo 19,,Morphology,vegetation,Forb,Reported_Native,,,,Species,Veronicastrum virginicum,Number of flowering stems / plot,density,Aboveground,,,,,,,
response combo 20,,Morphology,vegetation,Forb,Reported_Native,,,,Species,Helianthus strumosus,Number of flowering stems / plot,density,Aboveground,,,,,,,
response combo 21,DIVERSITY,Diversity_Metrics,vegetation,Understory Vegetation,Unspecified,Understory,,,Higher,Understory Vegetation,Understory richness in 75 m2,,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 22,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Understory Vegetation,Unspecified,Understory,,,Higher,Understory Vegetation,Understory density in 75 m2,,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 23,DIVERSITY,Diversity_Metrics,vegetation,Trees,Unspecified,Trees,,,Higher,Trees,Tree richness in 500 m2,,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 24,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Trees,Unspecified,Trees,,,Higher,Trees,Tree density in 500 m2,,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 25,VEGETATION_STRUCTURE,Leaf_traits,vegetation,total,Unspecified,total,,,Higher,total,Community-weighted mean traits leaf thickness,mm,Aboveground,Living,,,,,,
response combo 26,DIVERSITY,Diversity_Metrics,vegetation,Total,Inferred_Mixed,understorey,,,Higher_level,total,Shannon-Wiener Diversity Index,metric,Aboveground,Living,Plants,Plant_Diversity,,,,
response combo 27,DIVERSITY,Richness,vegetation,Total,Inferred_Mixed,understorey,,,Higher_level,total,Richness,count,Aboveground,Living,Plants,Plant_Diversity,,,,
response combo 28,,Demography,vegetation,Trees,Reported_Native,,,,Species,Oenocarpus mapora,Seed predation_removed from trap,ratio,Aboveground,,,,,,,
response combo 29,,Demography,vegetation,Trees,Reported_Native,,,,Species,Protium panamense,Seed establishment,number of 8,Aboveground,,,,,,,
response combo 30,,Demography,vegetation,Trees,Reported_Native,,,,Species,Swartzia simplex,Seed establishment,number of 8,Aboveground,,,,,,,
response combo 31,,Demography,vegetation,Trees,Reported_Native,,,,Species,Gustavia superba,Seed establishment,number of 8,Aboveground,,,,,,,
response combo 32,,Demography,vegetation,Trees,Reported_Native,,,,Species,Calophyllum longifolium,Seed establishment,number of 8,Aboveground,,,,,,,
response combo 33,,Demography,vegetation,Trees,Reported_Native,,,,Species,Astrocaryum standleyanum,Seed establishment,number of 8,Aboveground,,,,,,,
response combo 34,,Demography,vegetation,Trees,Reported_Native,,,,Species,Dipteryx oleifera,Seed establishment,number of 8,Aboveground,,,,,,,
response combo 35,,Demography,vegetation,Trees,Reported_Native,,,,Species,Prioria copaifera,Seed establishment,number of 8,Aboveground,,,,,,,
response combo 36,,Demography,vegetation,Trees,Reported_Native,,,,Species,Oenocarpus mapora,Seed establishment,number of 8,Aboveground,,,,,,,
response combo 37,,Demography,vegetation,Trees,Reported_Native,,,,Species,Attalea butyracea,Seed predation_removed from trap,ratio,Aboveground,,,,,,,
response combo 38,,Demography,vegetation,Trees,Reported_Native,,,,Species,Gustavia superba,Seed predation_removed from trap,ratio,Aboveground,,,,,,,
response combo 39,,Demography,vegetation,Trees,Reported_Native,,,,Species,Calophyllum longifolium,Seed predation_removed from trap,ratio,Aboveground,,,,,,,
response combo 40,,Demography,vegetation,Trees,Reported_Native,,,,Species,Virola nobilis,Seed predation_removed from trap,ratio,Aboveground,,,,,,,
response combo 41,,Demography,vegetation,Trees,Reported_Native,,,,Species,Astrocaryum standleyanum,Seed predation_removed from trap,ratio,Aboveground,,,,,,,
response combo 42,,Demography,vegetation,Trees,Reported_Native,,,,Species,Dipteryx oleifera,Seed predation_removed from trap,ratio,Aboveground,,,,,,,
response combo 43,,Demography,vegetation,Trees,Reported_Native,,,,Species,Prioria copaifera,Seed predation_removed from trap,ratio,Aboveground,,,,,,,
response combo 44,SOIL_NUTRIENTS,Total_N,soil,Nutrients,Unspecified,0-15 cm,,,,Soil,Total nitrogen,%,Belowground,Abiotic,Soil,Soil_Total_N,,,,
response combo 45,SOIL_PROCESS,N_Mineralization_Rate,soil,Nutrients,Unspecified,0-15 cm,,,,Soil,N mineralization potential,ug / g / 10 days,Belowground,Abiotic,Soil,N_Mineralization_Rate,,,,
response combo 46,BIOMASS,Biomass,vegetation,Total,Unspecified,0-15 cm depth,,,Higher_level,total,Root biomass,g / m2,Belowground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 47,BIOMASS,Biomass,vegetation,Total,Unspecified,,,,Higher_level,total,Aboveground biomass,g / m2,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 48,,Redundant_Measure_EXCLUDE,vegetation,Total,Unspecified,,,,Higher_level,total,Total biomass,g / m2,Aboveground,,,,,,,
response combo 49,PLANT_NUTRIENTS,Omit,vegetation,Nutrients,Unspecified,,,,,,Total plant n,g / m2,Aboveground & Belowground,Living,,,,,,
response combo 50,SOIL_NUTRIENTS,Total_N,soil,Nutrients,Unspecified,0-15 cm,,,,Soil,Total n,%,Belowground,Abiotic,Soil,Soil_Total_N,,,,
response combo 51,SOIL_NUTRIENTS,Labile_N,soil,Nutrients,Unspecified,0-15 cm,,,,Soil,Extractable mineral n,ug / g,Belowground,Abiotic,Soil,Soil_Labile_N,,,,
response combo 52,DIVERSITY,Diversity_Metrics,vegetation,Total,Unspecified,,,,Higher_level,total,Shannon-Wiener Diversity Index,metric,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 53,DIVERSITY,Richness,vegetation,Total,Unspecified,,,,Higher_level,total,Richness,count,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
response combo 54,DIVERSITY,Beta_Diversity,vegetation,Total,Unspecified,,,,Higher_level,total,Beta diversity,metric,Aboveground,Living,Plants,Plant_Beta_Div,,,,Native_Plant_Beta_Div
response combo 55,,Morphology,vegetation,Tree,Reported_Native,canopy,over_2m,,Species,Vachellia etbaica,Leaf density,ratio,Aboveground,,,,,,,
response combo 56,,Morphology,vegetation,Tree,Reported_Native,canopy,over_2m,,Species,Senegalia mellifera,Leaf density,ratio,Aboveground,,,,,,,
response combo 57,,Morphology,vegetation,Tree,Reported_Native,subcanopy,over_2m,,Species,Vachellia etbaica,Leaf density,ratio,Aboveground,,,,,,,
response combo 58,,Morphology,vegetation,Tree,Reported_Native,subcanopy,over_2m,,Species,Senegalia mellifera,Leaf density,ratio,Aboveground,,,,,,,
response combo 59,,Morphology,vegetation,Tree,Reported_Native,subcanopy,over_2m,,Species,Vachellia etbaica,Leaf mass,grams / leaf,Aboveground,,,,,,,
response combo 60,,Morphology,vegetation,Tree,Reported_Native,subcanopy,over_2m,,Species,Senegalia mellifera,Leaf mass,grams / leaf,Aboveground,,,,,,,
response combo 61,,Morphology,vegetation,Tree,Reported_Native,canopy,over_2m,,Species,Senegalia mellifera,Leaf mass,grams / leaf,Aboveground,,,,,,,
response combo 62,,Morphology,vegetation,Tree,Reported_Native,canopy,over_2m,,Species,Vachellia etbaica,Leaf mass,grams / leaf,Aboveground,,,,,,,
response combo 63,,Miscellany_rates_of_change,vegetation,Tree,Reported_Native,subcanopy,over_2m,,Species,Vachellia etbaica,Change in woody twig biomass per year,g / twig / year,Aboveground,,,,,,,
response combo 64,,Miscellany_rates_of_change,vegetation,Tree,Reported_Native,subcanopy,over_2m,,Species,Senegalia mellifera,Change in woody twig biomass per year,g / twig / year,Aboveground,,,,,,,
response combo 65,,Miscellany_rates_of_change,vegetation,Tree,Reported_Native,canopy,over_2m,,Species,Vachellia etbaica,Change in woody twig biomass per year,g / twig / year,Aboveground,,,,,,,
response combo 66,,Miscellany_rates_of_change,vegetation,Tree,Reported_Native,canopy,over_2m,,Species,Senegalia mellifera,Change in woody twig biomass per year,g / twig / year,Aboveground,,,,,,,
response combo 67,,Demography,vegetation,Tree,Reported_Native,0.5 m height class to 1.5 m height class,under_2m,,Species,Vachellia etbaica,Recruitment rate,number of new shrubs / hectare / year,Aboveground,,,,,,,
response combo 68,,Demography,vegetation,Tree,Reported_Native,0.5 m height class to 1.5 m height class,under_2m,,Species,Senegalia mellifera,Recruitment rate,number of new shrubs / hectare / year,Aboveground,,,,,,,
response combo 69,,Demography,vegetation,Tree,Reported_Native,0.5 m height class to 1.5 m height class,under_2m,,Species,Grewia tenax,Recruitment rate,number of new shrubs / hectare / year,Aboveground,,,,,,,
response combo 70,,Demography,vegetation,Tree,Reported_Native,0.5 m height class to 1.5 m height class,under_2m,,Higher_level,total,Recruitment rate,number of new shrubs / hectare / year,Aboveground,,,,,,,
response combo 71,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,0.5 m - 1.5 m height,under_2m,,Species,Senegalia mellifera,Net height growth rate,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 72,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,1.5 m - 2.5 m height,over_2m,,Species,Senegalia mellifera,Net height growth rate,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 73,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,> 2.5 m height,over_2m,,Species,Senegalia mellifera,Net height growth rate,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 74,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,0.5 m - 1.5 m height,under_2m,,Species,Vachellia etbaica,Net height growth rate,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 75,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,1.5 m - 2.5 m height,over_2m,,Species,Vachellia etbaica,Net height growth rate,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 76,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,> 2.5 m height,over_2m,,Species,Vachellia etbaica,Net height growth rate,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 77,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,0.5 m - 1.5 m height,under_2m,,Species,Senegalia mellifera,Net change in canopy diameter,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 78,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,1.5 m - 2.5 m height,over_2m,,Species,Senegalia mellifera,Net change in canopy diameter,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 79,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,> 2.5 m height,over_2m,,Species,Senegalia mellifera,Net change in canopy diameter,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 80,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,0.5 m - 1.5 m height,under_2m,,Species,Vachellia etbaica,Net change in canopy diameter,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 81,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,1.5 m - 2.5 m height,over_2m,,Species,Vachellia etbaica,Net change in canopy diameter,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 82,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,> 2.5 m height,over_2m,,Species,Vachellia etbaica,Net change in canopy diameter,m / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 83,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,0.5 m - 1.5 m height,under_2m,,Species,Senegalia mellifera,Net change in basal area,cm2 / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 84,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,1.5 m - 2.5 m height,over_2m,,Species,Senegalia mellifera,Net change in basal area,cm2 / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 85,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,> 2.5 m height,over_2m,,Species,Senegalia mellifera,Net change in basal area,cm2 / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 86,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,0.5 m - 1.5 m height,under_2m,,Species,Vachellia etbaica,Net change in basal area,cm2 / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 87,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,1.5 m - 2.5 m height,over_2m,,Species,Vachellia etbaica,Net change in basal area,cm2 / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 88,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,> 2.5 m height,over_2m,,Species,Vachellia etbaica,Net change in basal area,cm2 / 3 years,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 89,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,total,,,Species,Grewia tenax,Net height growth rate,m,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 90,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,total,,,Species,Grewia tenax,Net change in canopy diameter,m,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 91,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,total,,,Species,Grewia tenax,Net change in basal area,cm2,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 92,,Demography,vegetation,Tree,Reported_Native,> 0.5 m tall,under_2m,,Species,Vachellia etbaica,Annual mortality rate,% / year,Aboveground,,,,,,,
response combo 93,,Demography,vegetation,Tree,Reported_Native,> 0.5 m tall,under_2m,,Species,Grewia tenax,Annual mortality rate,% / year,Aboveground,,,,,,,
response combo 94,,Demography,vegetation,Tree,Reported_Native,> 0.5 m tall,under_2m,,Species,Senegalia mellifera,Annual mortality rate,% / year,Aboveground,,,,,,,
response combo 95,,Demography,vegetation,Tree,Reported_Native,> 0.5 m tall,under_2m,,Higher_level,total,Annual mortality rate,% / year,Aboveground,,,,,,,
response combo 96,,Miscellany_rates_of_change,vegetation,Tree,Reported_Native,> 0.5 m tall,under_2m,,Higher_level,total,Rate of change in shrub density,individuals / hectare / year,Aboveground,,,,,,,
response combo 97,ABUNDANCE,Cover,vegetation,Tree,Reported_Native,> 0.5 m tall,under_2m,,Higher_level,total,Net change in shrub cover,% cover,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,Understorey_Woody_Abundance,Native_Plant_Abundance
response combo 98,PRIMARY_PRODUCTIVITY,Growth_Rates,vegetation,Tree,Reported_Native,> 0.5 m tall,under_2m,,Higher_level,total,Net live aboveground biomass accumulation,kg  / hectare / year,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 99,PRIMARY_PRODUCTIVITY,Primary_Productivity,vegetation,Tree,Reported_Native,> 0.5 m tall,under_2m,,Higher_level,total,Net ecosystem aboveground production,kg / hectare / year,Aboveground,Living,Plants,Biomass_Accumulation_Rate,,,,Aboveground_Biomass_Accumulation_Rate
response combo 100,SOIL_COVER,Bare_Ground,soil,Structure,Inferred_Native,surface,,,,bare ground cover,Bare ground cover,%,Aboveground,Abiotic,Soil,Bare_Ground,,,,
response combo 101,ABUNDANCE,Cover,vegetation,Grasses,Inferred_Native,,,,Higher_level,Low forage-value grasses (thin-leaved and annual),Cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,,,Native_Plant_Abundance
response combo 102,ABUNDANCE,Cover,vegetation,Grasses,Inferred_Native,,,,Higher_level,Ascending bunchgrasses,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,,,Native_Plant_Abundance
response combo 103,ABUNDANCE,Cover,vegetation,Grasses,Inferred_Native,,,,Higher_level,Stoloniferous grasses,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,,,Native_Plant_Abundance
response combo 104,ABUNDANCE,Cover,vegetation,Grasses,Inferred_Native,,,,Higher_level,Tufted bunchgrass,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,,,Native_Plant_Abundance
response combo 105,SOIL_NUTRIENTS,Total_C,soil,Nutrients,Unspecified,0-20 cm,,,,Soil,Soil c,%,Belowground,Abiotic,Soil,Soil_Total_C,,,,
response combo 106,SOIL_NUTRIENTS,Omit,soil,Nutrients,Unspecified,0-20 cm,,,,Soil,Soil c stock,g / m2,Belowground,Abiotic,,,,,,
response combo 107,PRIMARY_PRODUCTIVITY,Primary_Productivity,vegetation,Total,Unspecified,0-20 cm depth,,,Higher_level,total,Belowground net primary productivity,g / m2,Belowground,Living,Plants,Primary_Productivity,,,,Belowground_Primary_Productivity
response combo 108,PRIMARY_PRODUCTIVITY,Primary_Productivity,vegetation,Total,Unspecified,,,,Higher_level,total,Aboveground net primary productivity,g / m2,Aboveground,Living,Plants,Primary_Productivity,,,,Aboveground_Primary_Productivity
response combo 109,,Redundant_measure_exclude,vegetation,Total,Unspecified,,,,Higher_level,total,Total net primary productivity,g / m2,Aboveground,,,Primary_Productivity,,,,
response combo 110,BIOMASS,Biomass,vegetation,Tree,Reported_Native,,,,Species,Populus tremuloides,Biomass,g/cm3,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 111,DIVERSITY,Richness,invertebrates,Total,Unspecified,,,,,total,Richness,count,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
response combo 112,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Total,Unspecified,,,,,total,Abundance,count,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
response combo 113,,Morphology,vegetation,Tree,Reported_Native,,,,Species,Populus tremuloides,Leaf area,cm2,Aboveground,,,,,,,
response combo 114,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Tree,Reported_Native,,,,Higher_level,total,Density,trees / hectare,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,,Native_Plant_Abundance
response combo 115,ABUNDANCE,Cover,vegetation,Shrub,Reported_Native,,,,Species,Vaccinium myrtillus,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 116,ABUNDANCE,Cover,vegetation,Shrub,Reported_Native,,,,Species,Calluna vulgaris,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 117,ABUNDANCE,Cover,vegetation,Grass,Inferred_Native,,,,Higher_level,total,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Graminoid_Abundance,,,Native_Plant_Abundance
response combo 118,ABUNDANCE,Cover,vegetation,Shrub,Reported_Native,,,,Species,Vaccinium vitis-idaea,Cover,%,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 119,BIOMASS,Biomass_Proxy,vegetation,Shrub,Reported_Native,,,,Species,Vaccinium myrtillus,Height,cm,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 120,BIOMASS,Biomass,vegetation,Shrub,Reported_Native,,,,Species,Vaccinium myrtillus,Biomass,kg / m2,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,Not_NFixing_Abundance,,Native_Plant_Abundance
response combo 121,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Lepidopterans,Inferred_Native,,,,,total,Larva density,number per 125 sweeps,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
response combo 122,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Lepidopterans,Inferred_Native,,,,,Hydiomena,Larva density,number per 125 sweeps,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
response combo 123,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Lepidopterans,Inferred_Native,,,,,Perizoma,Larva density,number per 125 sweeps,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
response combo 124,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Lepidopterans,Inferred_Native,,,,,Operophtera,Larva density,number per 125 sweeps,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
response combo 125,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Lepidopterans,Inferred_Native,,,,,Entephria,Larva density,number per 125 sweeps,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
response combo 126,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Coleopteran,Inferred_Native,,,,,total,Abundance,number per 125 sweeps,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
response combo 127,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Aranaea,Inferred_Native,,,,,total,Abundance,number per 125 sweeps,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Predator_Abundance,,,
response combo 128,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Diptera,Inferred_Native,,,,,total,Abundance,number per 125 sweeps,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
response combo 129,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Hymenoptera,Inferred_Native,,,,,total,Abundance,number per 125 sweeps,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
response combo 130,ABUNDANCE,Abundance_Density_Freq_Counts,invertebrates,Homoptera,Inferred_Native,,,,,total,Abundance,number per 125 sweeps,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
