data_point_ID,Response_Highest_Level,Response_Cat,Response_Sphere,Species_Class,Species_Nativeness,Strata_or_soil_depth,woody_height_class,age_class,Species_Level,Species,Response,Units,Response_Dimension,Response_Living,analysis_group_category,eco_response_coarse,eco_response_fine,eco_response_fine2,eco_response_fine3,eco_response_fine4
Wijas et al 2023 Ecology 24,ABUNDANCE,Termite Abundance,arthropods,Termites,,,,,,,Termite activity,toilet paper consumed per month,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Detritivore_Abundance,,,
Connally et al 2025 Journal of Medical Entomology 1,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,Adult,higher_Level,total,Abundance,ticks/m,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Copeland et al 2025 Ecosphere 1,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,,Higher_Level,,Abundance,ticks/ hour,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Copeland et al 2025 Ecosphere 2,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,,Species,Dermacentor occidentalis,Abundance,ticks/ hour,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Copeland et al 2025 Ecosphere 3,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,,Species,Dermacentor occidentalis,Abundance,ticks/ hour,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Copeland et al 2025 Ecosphere 4,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,,Species,Dermacentor occidentalis,Abundance,ticks/ hour,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Copeland et al 2025 Ecosphere 5,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,,Species,Dermacentor occidentalis,Abundance,ticks/ hour,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Copeland et al 2025 Ecosphere 6,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,,Species,Dermacentor occidentalis,Abundance,ticks/ hour,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Copeland et al 2025 Ecosphere 7,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,,Species,Dermacentor occidentalis,Abundance,ticks/ hour,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Copeland et al 2025 Ecosphere 8,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,,Species,Dermacentor occidentalis,Abundance,ticks/ hour,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Copeland et al 2025 Ecosphere 9,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,,Species,Dermacentor occidentalis,Abundance,ticks/ hour,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Copeland et al 2025 Ecosphere 10,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,,Species,Dermacentor occidentalis,Abundance,ticks/ hour,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Copeland et al 2025 Ecosphere 11,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,,Species,Dermacentor occidentalis,Abundance,ticks/ hour,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Connally et al 2025 Journal of Medical Entomology 2,ABUNDANCE,Tick_Abundance,arthropods,ticks,Native,,,Nymph,higher_Level,total,Abundance,ticks/m,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_DiseasePathogen_Abundance,,,
Tanentzap et al 2023 Biological Conservation 3,BIOMASS,Arthropod_Biomass,arthropods,ground-dwelling arthropods,,,,,higher_Level,total,Biomass,g / pitfall trap day,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
Baidya et al 2025 Ecological Applications 1,DIVERSITY,Arthropod Diversity,arthropods,Ground dwelling Arthropods,,,,,,total,Ground Dwelling Arthropod Diversity,Richness,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
Baidya et al 2025 Ecological Applications 2,DIVERSITY,Arthropod Diversity,arthropods,Ground dwelling Arthropods,,,,,,total,Ground Dwelling Arthropod Diversity,Richness,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
Baidya et al 2025 Ecological Applications 3,DIVERSITY,Arthropod Diversity,arthropods,Ground dwelling Arthropods,,,,,,total,Ground Dwelling Arthropod Diversity,Richness,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
Baidya et al 2025 Ecological Applications 4,DIVERSITY,Arthropod Diversity,arthropods,Ground dwelling Arthropods,,,,,,total,Ground Dwelling Arthropod Diversity,Richness,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
Tanentzap et al 2023 Biological Conservation 2,DIVERSITY,Arthropod_Diversity,arthropods,ground-dwelling arthropods,,,,,higher_Level,total,Diversity,families/ pitfall trap day,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
Guy et al 2021 Current Biology 3,DIVERSITY,Pollinator Richness,arthropods,Pollinators,Presume_Native,,,,Higher_level,Pollinator Richness,richness,count / 0.25 ha,Aboveground,Living,Invertebrates,Invertebrate_Diversity,Pollinator_Diversity,,,
Guy et al 2021 Current Biology 4,DIVERSITY,Pollinator Richness,arthropods,Pollinators,Presume_Native,,,,Higher_level,Pollinator Richness,richness,count / 0.25 ha,Aboveground,Living,Invertebrates,Invertebrate_Diversity,Pollinator_Diversity,,,
Barrios Garcia et al 2023 Biological Invasions 10,DIVERSITY,Richness,arthropods,arthropods,,0 to 10 cm,,,Higher_level,total,Arthropod Richness,individuals/ sample,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
Barrios Garcia et al 2023 Biological Invasions 11,DIVERSITY,Richness,arthropods,arthropods,,0 to 10 cm,,,Higher_level,total,Arthropod Richness,individuals/ sample,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
Barrios Garcia et al 2023 Biological Invasions 12,DIVERSITY,Richness,arthropods,arthropods,,0 to 10 cm,,,Higher_level,total,Arthropod Richness,individuals/ sample,Aboveground,Living,Invertebrates,Invertebrate_Diversity,,,,
Roy et al 2023 Global Change Biology 45,ABUNDANCE,Bacterial Abundance,bacteria,all bacteria,,20 cm,,,Higher_level,total,16S rDNA,copies/g,Belowground,Living,Microbes,Microbe_Abundance,,,,
Roy et al 2023 Global Change Biology 46,ABUNDANCE,Bacterial Abundance,bacteria,all bacteria,,20 cm,,,Higher_level,total,16S rDNA,copies/g,Belowground,Living,Microbes,Microbe_Abundance,,,,
Roy et al 2023 Global Change Biology 47,ABUNDANCE,Bacterial Abundance,bacteria,all bacteria,,20 cm,,,Higher_level,total,16S rDNA,copies/g,Belowground,Living,Microbes,Microbe_Abundance,,,,
Roy et al 2023 Global Change Biology 48,ABUNDANCE,Bacterial Abundance,bacteria,all bacteria,,20 cm,,,Higher_level,total,16S rDNA,copies/g,Belowground,Living,Microbes,Microbe_Abundance,,,,
Roy et al 2023 Global Change Biology 40,ABUNDANCE,Bacterial Abundance,bacteria,all bacteria,,20 cm,,,Higher_level,total,Bacterial Fraction,Fraction,Belowground,Living,Microbes,Microbe_Abundance,,,,
Roy et al 2023 Global Change Biology 41,ABUNDANCE,Bacterial Abundance,bacteria,all bacteria,,20 cm,,,Higher_level,total,Bacterial Fraction,Fraction,Belowground,Living,Microbes,Microbe_Abundance,,,,
Roy et al 2023 Global Change Biology 42,ABUNDANCE,Bacterial Abundance,bacteria,all bacteria,,20 cm,,,Higher_level,total,Bacterial Fraction,Fraction,Belowground,Living,Microbes,Microbe_Abundance,,,,
Roy et al 2023 Global Change Biology 43,ABUNDANCE,Bacterial Abundance,bacteria,all bacteria,,20 cm,,,Higher_level,total,Bacterial Fraction,Fraction,Belowground,Living,Microbes,Microbe_Abundance,,,,
Roy et al 2023 Global Change Biology 44,ABUNDANCE,Bacterial Abundance,bacteria,all bacteria,,20 cm,,,Higher_level,total,Bacterial Fraction,Fraction,Belowground,Living,Microbes,Microbe_Abundance,,,,
Aggerbeck et al 2022 Science of the Total Environment 2,ABUNDANCE,microbial aboundance,bacteria,,,5 cm,,,Higher_Level,,OTUs relative abuandance,%,Belowground,Living,Microbes,Relative_Microbe_Abundance,,,,
Malongweni and van Tol 2023 Environmental Systems Research 19,ABUNDANCE,Total microbial activity,bacteria,Total soil microbial activity,,,,,,,Total soil microbial activity,ug / g,Belowground,Living,Microbes,Microbe_Abundance,,,,
Malongweni and van Tol 2023 Environmental Systems Research 20,ABUNDANCE,Total microbial activity,bacteria,Total soil microbial activity,,,,,,,Total soil microbial activity,ug / g,Belowground,Living,Microbes,Microbe_Abundance,,,,
Malongweni and van Tol 2023 Environmental Systems Research 21,ABUNDANCE,Total microbial activity,bacteria,Total soil microbial activity,,,,,,,Total soil microbial activity,ug / g,Belowground,Living,Microbes,Microbe_Abundance,,,,
Brearley et al 2024 Forest Ecology and Management 1,DIVERSITY,Bacterial diversity,bacteria,Bacteria,,0–5 cm depth,,,Higher_Level,Bacteria,the number of OTUs,Count,Belowground,Living,Microbes,Microbial_Diversity,,,,
Kadowaki et al 2023 Environmental DNA 1,DIVERSITY,Bacterial diversity,bacteria,,,5 cm,,,Higher_Level,,"amplicon sequence variant, or ASV",Count,Belowground,Living,Microbes,Microbial_Diversity,,,,
Aggerbeck et al 2022 Science of the Total Environment 1,DIVERSITY,microbial diversity,bacteria,,,5 cm,,,Higher_Level,,Chao1,Index,Belowground,Living,Microbes,Microbial_Diversity,,,,
Cocquelet et al. 2019 Forest Ecology and Management_13,ABUNDANCE,Abundance_Activity,birds,Birds,Inferred_Native,,,,,avian predators,Frequentation rate,count,Aboveground,Living,Vertebrates,,,,,
Cocquelet et al. 2019 Forest Ecology and Management_27,ABUNDANCE,Abundance_Activity,birds,Birds,Inferred_Native,,,,,avian predators,Frequentation rate,count,Aboveground,Living,Vertebrates,,,,,
Bailey and Whitham 2002 Oikos_5,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Total,Unspecified,,,,,total,foraging rate,count,Aboveground,Living,Vertebrates,,,,,
Nkwabi et al. 2011 Austral Ecology_7,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Croaking cisticola,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_8,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Croaking cisticola,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_9,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Croaking cisticola,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_16,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Crowned plover,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_17,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Crowned plover,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_18,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Crowned plover,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_13,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Richardis pipit,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_14,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Richardis pipit,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_15,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Richardis pipit,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_10,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Fischeris sparrow-lark,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_11,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Fischeris sparrow-lark,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_12,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Fischeris sparrow-lark,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_4,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Athi short-toed lark,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_5,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Athi short-toed lark,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_6,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Athi short-toed lark,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_19,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Red-capped lark,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_20,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Red-capped lark,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_21,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,Red-capped lark,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Cocquelet et al. 2019 Forest Ecology and Management_10,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Inferred_Native,,,,,total,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Cocquelet et al. 2019 Forest Ecology and Management_24,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Inferred_Native,,,,,total,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Levin et al. 2002 Conservation Biology_10,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,total,Abundance,count,Marine,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Levin et al. 2002 Conservation Biology_9,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,total,Abundance,count,Marine,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_1,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,total,Abundance,count,Marine,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_2,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,total,Abundance,count,Marine,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Nkwabi et al. 2011 Austral Ecology_3,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,total,Abundance,count,Marine,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Moe et al. 2017 Ecology and Evolution_1,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,total,Abundance_number individuals,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Moe et al. 2017 Ecology and Evolution_2,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,total,Abundance_number individuals,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Moe et al. 2017 Ecology and Evolution_3,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,total,Abundance_number individuals,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Moe et al. 2017 Ecology and Evolution_4,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,total,Abundance_number individuals,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Moe et al. 2017 Ecology and Evolution_5,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Reported_Native,,,,,total,Abundance_number individuals,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Casey and Hein 1983 The Journal of Wildlife Management_11,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,total,Abundance,count,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Zalba and Cozzani 2004 Animal Conservation_1,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,total,Density,birds/ha,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Zalba and Cozzani 2004 Animal Conservation_10,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,total,Density,birds/ha,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Zalba and Cozzani 2004 Animal Conservation_13,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,total,Density,birds/ha,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Zalba and Cozzani 2004 Animal Conservation_16,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,total,Density,birds/ha,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Zalba and Cozzani 2004 Animal Conservation_19,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,total,Density,birds/ha,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Zalba and Cozzani 2004 Animal Conservation_22,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,total,Density,birds/ha,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Zalba and Cozzani 2004 Animal Conservation_23,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,total,Density,birds/ha,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
Zalba and Cozzani 2004 Animal Conservation_7,ABUNDANCE,Abundance_Density_Freq_Counts,birds,Birds,Unspecified,,,,,total,Density,birds/ha,Aboveground,Living,Vertebrates,Vertebrate_Abundance,Bird_Abundance,,,
