year,site,area,species,growth_form,nativeness,mean_High_Megafauna,mean_No_Megafauna,sd_High_Megafauna,sd_No_Megafauna,n_High_Megafauna,n_No_Megafauna
3,BM,R,Toxicodendron radicans,vine,Native,8.61111111111111,0.555555555555556,7.61486120104044,1.10239637961025,9,9
3,BM,R,Vincetoxicum rossicum,vine,Introduced,6.38888888888889,6.11111111111111,12.6312553260201,12.7543565541783,9,9
3,GL,R,Acer rubrum,tree,Native,1.66666666666667,0.277777777777778,1.25,0.833333333333334,9,9
3,GL,R,Alliaria petiolata,forb,Introduced,2.77777777777778,1.11111111111111,4.75073093791308,1.31761569173683,9,9
3,GL,R,Aralia nudicaulis,forb,Native,0.277777777777778,0.277777777777778,0.833333333333334,0.833333333333334,9,9
3,GL,R,Fraxinus spp.,tree,Native,0.555555555555556,3.33333333333333,1.10239637961025,6.61437827766148,9,9
3,GL,R,Geranium robertianum,forb,Native,2.22222222222222,3.33333333333333,0.833333333333333,6.61437827766148,9,9
3,GL,R,Impatiens spp.,forb,Unknown,3.61111111111111,3.61111111111111,6.50854139658888,6.50854139658888,9,9
3,GL,R,Parthenocissus quinquefolia,vine,Native,17.5,10.2777777777778,7.5,20.6323640052332,9,9
3,GL,R,Rhamnus cathartica,shrub,Introduced,7.77777777777778,2.77777777777778,6.89706056551952,4.75073093791308,9,9
3,GL,R,Rosa multiflora,shrub,Introduced,2.77777777777778,43.6111111111111,4.75073093791308,23.5223002937874,9,9
3,GL,R,Vincetoxicum rossicum,vine,Introduced,11.9444444444444,11.3888888888889,6.09530784930325,11.9968167074066,9,9
3,TG,R,Acer negundo,tree,Native,1.38888888888889,0.277777777777778,1.31761569173683,0.833333333333334,9,9
3,TG,R,Acer saccharum,tree,Native,1.11111111111111,1.11111111111111,1.31761569173683,1.31761569173682,9,9
3,TG,R,Arisaema triphyllum,forb,Native,0.555555555555556,4.16666666666667,1.10239637961025,6.25,9,9
3,TG,R,Carex radiata,graminoid,Native,10,15.8333333333333,12.2474487139159,9.51971638232989,9,9
3,TG,R,Dryopteris spp.,fern,Native,2.22222222222222,1.11111111111111,4.91242755106317,1.31761569173683,9,9
3,TG,R,Lonicera spp.,shrub,Unknown,2.22222222222222,2.5,4.91242755106317,4.84122918275927,9,9
3,TG,R,Pinus strobus,tree,Native,2.22222222222222,6.66666666666667,0.833333333333333,6.25,9,9
3,TG,R,Polystichum acrostichoides,fern,Native,0.277777777777778,0.555555555555556,0.833333333333334,1.10239637961025,9,9
3,TG,R,Solidago caesia,forb,Native,1.66666666666667,0.555555555555556,5,1.10239637961025,9,9
3,TG,R,Veronica spp.,forb,Native,0.277777777777778,0.277777777777778,0.833333333333333,0.833333333333334,9,9
3,TG,R,Vincetoxicum rossicum,vine,Introduced,21.1111111111111,12.5,12.9368122468834,11.8585412256314,9,9
