,Ecosystem,Primary Productivity,,,,,,,
,,"-0.3±[0.3,-0.9]","31,31",1.01,0.32,,,,
,,,,,,,,,
Ecosystem,Invasive,~1 | Citation / Species ID / Observation ID,,,,,,,
,,"Native=52(19), Invasive=10(6)",,,,,,,
,,"LRT=0.4545, p=0.5, I2=83.921, prop. variance reduced=0.026",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
,,"-0.25±[0.51,-1.01]","23,23",0.68,0.503,,,,
,,,,,,,,,
,,Bare Ground,,,,,,,
Ecosystem,Herbivore nativeness,~1 | Citation / Observation ID,,,,,,,
,,"Native=48(17), Introduced=45(19)",,,,,,,
,,"LRT=2.638, p=0.1, I2=87.588, prop. variance reduced=0.112",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
,,"0.47±[1.03,-0.08]","33,91",-1.69,0.095,,,,
,,,,,,,,,
Ecosystem,Invasive,~1 | Citation / Observation ID,,,,,,,
,,"Native=48(17), Invasive=33(13)",,,,,,,
,,"LRT=1.052, p=0.31, I2=84.548, prop. variance reduced=0.058",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
,,"0.28±[0.82,-0.26]","27,79",-1.05,0.299,,,,
,,,,,,,,,
Ecosystem,Africa Comparison,~1 | Citation / Observation ID,,,,,,,
,,"Intact Africa=5(3), Introduced=45(19)",,,,,,,
,,"LRT=0.4851, p=0.49, I2=97.988, prop. variance reduced=0.022",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
,,"0.92±[-1.84,3.68]","20,20",0.7,0.493,,,,
,,,,,,,,,
Ecosystem,,Soil Compaction,,,,,,,
,Herbivore nativeness,~1 | Citation / Observation ID,,,,,,,
,,"Native=28(6), Introduced=7(4)",,,,,,,
,,"LRT=0.7663, p=0.38, I2=40.491, prop. variance reduced=0.02",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
,,"0.18±[0.66,-0.3]","8,8",-0.88,0.407,,,,
,,,,,,,,,
,,Soil Moisture,,,,,,,
Ecosystem,Herbivore nativeness,~1 | Citation / Observation ID,,,,,,,
,,"Native=42(12), Introduced=5(4)",,,,,,,
,,"LRT=0.3614, p=0.55, I2=88.07, prop. variance reduced=0.035",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
,,"0.44±[1.99,-1.11]","14,14",-0.61,0.551,,,,
,,,,,,,,,
Ecosystem,Soil Total C,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=0.0328, p=0.86, I2=71.649, prop. variance reduced=0.002","Native=114(29), Introduced=20(11)","0.04±[0.42,-0.35]","37,132",-0.18,0.856
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecosystem,Soil Total C,Invasive,~1 | Citation / Observation ID,"LRT=0.0852, p=0.77, I2=72.62, prop. variance reduced=0","Native=114(29), Invasive=8(6)","-0.09±[0.49,-0.66]","32,120",0.29,0.771
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecosystem,Soil Total C,Africa Comparison,~1 | Citation / Observation ID,"LRT=0.9815, p=0.32, I2=76.781, prop. variance reduced=0.048","Intact Africa=21(4), Introduced=20(11)","0.23±[-0.24,0.7]","13,13",1.07,0.304
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecosystem,Soil C:N,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=1.6686, p=0.2, I2=9.006, prop. variance reduced=0.158","Native=16(7), Introduced=6(4)","-0.26±[0.2,-0.72]","9,9",1.29,0.228
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecosystem,Soil Total N,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=0.0014, p=0.97, I2=57.631, prop. variance reduced=0","Native=125(28), Introduced=14(9)","-0.01±[0.37,-0.38]","34,137",0.04,0.971
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecosystem,Soil Total N,Invasive,~1 | Citation / Observation ID,"LRT=8e-04, p=0.98, I2=51.617, prop. variance reduced=0","Native=125(28), Invasive=8(6)","-0.01±[0.46,-0.48]","31,131",0.03,0.978
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecosystem,Soil Total N,Africa Comparison,~1 | Citation / Observation ID,"LRT=0.6529, p=0.42, I2=68.178, prop. variance reduced=0.021","Intact Africa=20(5), Introduced=14(9)","0.21±[-0.36,0.78]","12,12",0.81,0.434
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecosystem,Soil Labile N,Herbivore nativeness,"~1 | Citation / Observation ID, ~Time Series | Experiment ID","LRT=1.1649, p=0.28, I2=49.499, prop. variance reduced=0.223","Native=73(12), Introduced=19(3)","0.25±[0.73,-0.22]","13,13",-1.15,0.27
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecosystem,Soil Total P,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=0.7063, p=0.4, I2=72.879, prop. variance reduced=0.054","Native=36(11), Introduced=12(5)","-0.27±[0.38,-0.92]","14,14",0.89,0.389
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecosystem,Soil Total P,Africa Comparison,~1 | Citation / Observation ID,"LRT=0.6598, p=0.42, I2=72.405, prop. variance reduced=0.05","Intact Africa=24(6), Introduced=12(5)","-0.26±[-0.93,0.41]","9,9",-0.88,0.401
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecosystem,Soil Total Ca,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=1.9724, p=0.16, I2=78.244, prop. variance reduced=0.077","Native=26(8), Introduced=10(4)","-0.38±[0.21,-0.97]","10,10",1.43,0.184
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ecosystem,Soil Total Mg,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=2.9147, p=0.09, I2=76.032, prop. variance reduced=0.14","Native=26(8), Introduced=8(4)","-0.56±[0.14,-1.27]","10,10",1.78,0.106
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Invertebrates,Invertebrate Diversity,Herbivore nativeness,~1 | Citation / Species ID / Observation ID,"LRT=0.0256, p=0.87, I2=87.839, prop. variance reduced=0.001","Native=117(18), Introduced=57(6)","0.06±[0.87,-0.75]","22,22",-0.16,0.874
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Invertebrates,Invertebrate Abundance,Herbivore nativeness,"~1 | Citation / Species ID / Observation ID, ~1 | site_id","LRT=0.9403, p=0.33, I2=84.288, prop. variance reduced=0.021","Native=502(40), Introduced=92(11)","0.23±[0.69,-0.24]","43,43",-0.98,0.334
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Invertebrates,Invertebrate Abundance,Invasive,"~1 | Citation / Species ID / Observation ID, ~1 | site_id","LRT=1.3746, p=0.24, I2=86.456, prop. variance reduced=0.033","Native=502(40), Invasive=20(6)","0.38±[1.02,-0.27]","38,38",-1.18,0.244
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Invertebrates,Invertebrate Abundance,Africa Comparison,~1 | Citation / Observation ID,"LRT=0.2515, p=0.62, I2=62.321, prop. variance reduced=0.032","Intact Africa=36(7), Introduced=92(11)","0.09±[-0.29,0.47]","16,16",0.51,0.618
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Invertebrates,Herbivore Abundance,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=0.5566, p=0.46, I2=81.141, prop. variance reduced=0.017","Native=157(22), Introduced=29(4)","0.29±[1.1,-0.51]","24,24",-0.75,0.461
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Invertebrates,Herbivore Abundance,Africa Comparison,~1 | Citation / Observation ID,"LRT=2.2904, p=0.13, I2=7.904, prop. variance reduced=0.846","Intact Africa=6(3), Introduced=29(4)","0.36±[-0.1,0.83]","5,5",2,0.102
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Invertebrates,Predator Abundance,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=0.9898, p=0.32, I2=40.297, prop. variance reduced=0.094","Native=111(19), Introduced=16(5)","0.19±[0.55,-0.18]","22,22",-1.07,0.297
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Invertebrates,Predator Abundance,Africa Comparison,"~1 | Citation / Observation ID, ~1 | site_id, ~Time Series | Experiment ID","LRT=0.5097, p=0.48, I2=0, prop. variance reduced=0.604","Intact Africa=9(3), Introduced=16(5)","0.1±[-0.25,0.45]","6,6",0.71,0.502
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Invertebrates,Detritivore Abundance,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=2.0568, p=0.15, I2=92, prop. variance reduced=0.058","Native=102(14), Introduced=16(4)","0.98±[2.43,-0.46]","16,16",-1.44,0.169
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Invertebrates,Detritivore Abundance,Invasive,~1 | Citation / Observation ID,"LRT=2.7827, p=0.1, I2=92.735, prop. variance reduced=0.087","Native=102(14), Invasive=11(3)","1.35±[3.06,-0.36]","15,15",-1.68,0.114
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Vertebrate Diversity,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=2.5061, p=0.11, I2=68.758, prop. variance reduced=0.115","Native=58(10), Introduced=24(4)","-0.16±[0.06,-0.38]","12,12",1.61,0.133
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Vertebrate Diversity,Invasive,~1 | Citation / Observation ID,"LRT=2.3271, p=0.13, I2=55.473, prop. variance reduced=0.167","Native=58(10), Invasive=20(3)","-0.15±[0.06,-0.35]","11,11",1.6,0.137
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Vertebrate Diversity,Africa Comparison,~1 | Citation / Observation ID,"LRT=1.8996, p=0.17, I2=82.957, prop. variance reduced=0.047","Intact Africa=14(3), Introduced=24(4)","-0.31±[-0.9,0.27]","5,5",-1.38,0.225
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Vertebrate Abundance,Herbivore nativeness,~1 | Citation / Species ID / Observation ID,"LRT=1.274, p=0.26, I2=89.171, prop. variance reduced=0.02","Native=327(31), Introduced=54(9)","-0.27±[0.19,-0.74]","38,38",1.2,0.238
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Vertebrate Abundance,Invasive,~1 | Citation / Species ID / Observation ID,"LRT=1.2566, p=0.26, I2=89.316, prop. variance reduced=0.02","Native=327(31), Invasive=47(7)","-0.3±[0.21,-0.8]","36,36",1.19,0.241
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Vertebrate Abundance,Africa Comparison,~1 | Citation / Species ID / Observation ID,"LRT=0.5136, p=0.47, I2=84.396, prop. variance reduced=0.019","Intact Africa=125(9), Introduced=54(9)","0.31±[-0.56,1.18]","16,16",0.75,0.463
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Herbivore Abundance,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=1.0212, p=0.31, I2=85.573, prop. variance reduced=0.043","Native=189(17), Introduced=25(6)","0.49±[1.5,-0.51]","21,21",-1.02,0.319
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Herbivore Abundance,Invasive,~1 | Citation / Observation ID,"LRT=0.86, p=0.35, I2=86.263, prop. variance reduced=0.038","Native=189(17), Invasive=22(5)","0.5±[1.61,-0.61]","20,20",-0.94,0.361
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Herbivore Abundance,Africa Comparison,~1 | Citation / Observation ID,"LRT=2.7246, p=0.1, I2=76.124, prop. variance reduced=0.209","Intact Africa=119(5), Introduced=25(6)","1.11±[-0.32,2.55]","9,9",1.76,0.113
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Carnivore Abundance,Herbivore nativeness,~1 | Citation / Species ID / Observation ID,"LRT=0.6018, p=0.44, I2=87.764, prop. variance reduced=0.006","Native=46(9), Introduced=10(3)","-0.35±[0.66,-1.36]","10,10",0.78,0.456
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Carnivore Abundance,Invasive,~1 | Citation / Species ID / Observation ID,"LRT=0.6018, p=0.44, I2=87.764, prop. variance reduced=0.006","Native=46(9), Invasive=10(3)","-0.35±[0.66,-1.36]","10,10",0.78,0.456
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Small Mammal Abundance,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=2.309, p=0.13, I2=77.078, prop. variance reduced=0.109","Native=173(13), Introduced=28(6)","0.7±[1.65,-0.25]","17,17",-1.56,0.136
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Small Mammal Abundance,Invasive,~1 | Citation / Observation ID,"LRT=2.02, p=0.16, I2=78.175, prop. variance reduced=0.101","Native=173(13), Invasive=25(5)","0.72±[1.77,-0.33]","16,16",-1.46,0.164
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Small Mammal Abundance,Africa Comparison,~1 | Citation / Observation ID,"LRT=3.414, p=0.06, I2=73.851, prop. variance reduced=0.238","Intact Africa=119(5), Introduced=28(6)","1.17±[-0.17,2.51]","9,9",1.98,0.079
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Bird Diversity,Herbivore nativeness,~1 | Citation / Observation ID,"LRT=0.9405, p=0.33, I2=77.31, prop. variance reduced=0.069","Native=38(6), Introduced=18(3)","-0.11±[0.16,-0.38]","7,7",0.99,0.356
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Bird Abundance,Herbivore nativeness,~1 | Citation / Species ID / Observation ID,"LRT=0.9996, p=0.32, I2=93.297, prop. variance reduced=0.012","Native=115(10), Introduced=23(4)","-0.32±[0.37,-1.01]","12,12",1,0.336
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vertebrates,Bird Abundance,Invasive,~1 | Citation / Species ID / Observation ID,"LRT=0.6754, p=0.41, I2=93.421, prop. variance reduced=0.007","Native=115(10), Invasive=19(3)","-0.3±[0.5,-1.1]","11,11",0.82,0.428
