"data_point_ID","EXCLUSION","Citation","Title","Lit_Source","experimental_mechanism","experimental_comparison","Latitude","Longitude","Site","Herbivores_Manipulated","Herbivore_nativeness","Fig_Num","Response_Sphere","Response","Species_Class","Species_Level","Species","time_series_clean","nutrient_measured","Nutrient_Grouping_Alt","experiment_id","Mean_Type","Error_bar","Raw_Mean_High_Megafauna","Error_Megafauna","N_Megafauna","Raw_Mean_Low_Megafauna","Error_Low_Megafauna","N_Low_Megafauna","Min_Megafauna","First_Qtr_Megafauna","Median_Megafauna","Third_Qtr_Megafauna","Maximum_Megafauna","Min_Low_Megafauna","First_Qtr_Low_Megafauna","Median_Low_Megafauna","Third_Qtr_Low_Megafauna","Maximum_Low_Megafauna","species_response_tag","SD_High_Megafauna","SD_Low_Megafauna","yi_smd","vi_smd","yi_rom","vi_rom","analysis_group_category","analysis_group","Invasive","Africa_Comparison","site_id"
"Anderson et al. 2007 Ecology_34","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","N (mg/kg)","nutrients","","Soil",1,"N","Total_N","experiment_7648","Mean","SE","6.7","0.7",3,"6.2","0.4",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",1.21243556529821,0.692820323027551,0.404024552556662,0.680269653255718,0.0775582343458745,0.0150779023020546,"Ecosystem","Soil_Total_N","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_35","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","P (mg/kg)","nutrients","","Soil",1,"P","Total_P","experiment_7649","Mean","SE","101.1","12.1",3,"82.2","10.5",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",20.9578147715834,18.1865334794732,0.768558873552625,0.715890228509707,0.206954823964292,0.0306409347691786,"Ecosystem","Soil_Total_P","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_36","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","N (mg/kg)","nutrients","","Soil",1,"N","Total_N","experiment_7650","Mean","SE","7.4","0.3",3,"7.5","1.2",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",0.519615242270663,2.07846096908265,-0.0526682291638652,0.666897828530272,-0.0134230203321407,0.0272435354273192,"Ecosystem","Soil_Total_N","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_37","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","P (mg/kg)","nutrients","","Soil",1,"P","Total_P","experiment_7651","Mean","SE","62.2","1.6",3,"72.9","10.3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",2.7712812921102,17.8401233179594,-0.668749305964757,0.703935469519029,-0.158733639269479,0.020624402219436,"Ecosystem","Soil_Total_P","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_38","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","N (mg/kg)","nutrients","","Soil",1,"N","Total_N","experiment_7652","Mean","SE","7.5","0.3",3,"9.4","0.9",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",0.519615242270663,1.55884572681199,-1.30474841572277,0.808530702360924,-0.225806668733694,0.0107670439112721,"Ecosystem","Soil_Total_N","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_39","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","P (mg/kg)","nutrients","","Soil",1,"P","Total_P","experiment_7653","Mean","SE","74.9","2.2",3,"100.4","9",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",3.81051177665153,15.5884572681199,-1.79303909084079,0.934582431773597,-0.293008316734455,0.00889833029689037,"Ecosystem","Soil_Total_P","Native","Intact_Africa","site_65"
"Augustine and Frank 2001 Ecology_1","","Augustine and Frank 2001 Ecology","Effects of Migratory Grazers on Spatial Heterogeneity of Soil Nitrogen Properties in a Grassland Ecosystem","","inside vs outside exclosure","high vs low",44.82258,-110.547123,"Northern Yellowstone National Park","Bison bison; Cervus canadensis; Antilocapra americana; Odocoileus hemionus","Native","Table 1","soil","Total nitrogen","Nutrients","","Soil",1,"N","Total_N","experiment_7043","Mean","SE","0.25","0.05",25,"0.18","0.03",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients Soil",0.25,0.15,0.334211956213919,0.0811169763167633,0.328504066972036,0.0677777777777778,"Ecosystem","Soil_Total_N","Native",NA,"site_118"
"Augustine and Frank 2001 Ecology_15","","Augustine and Frank 2001 Ecology","Effects of Migratory Grazers on Spatial Heterogeneity of Soil Nitrogen Properties in a Grassland Ecosystem","","inside vs outside exclosure","high vs low",44.82258,-110.547123,"Northern Yellowstone National Park","Bison bison; Cervus canadensis; Antilocapra americana; Odocoileus hemionus","Native","Table 1","soil","Total n","Nutrients","","Soil",1,"N","Total_N","experiment_7049","Mean","SE","0.1","0.02",25,"0.09","0.03",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients Soil",0.1,0.15,0.0772132307924743,0.0800596188300941,0.105360515657826,0.151111111111111,"Ecosystem","Soil_Total_N","Native",NA,"site_118"
"Augustine and Frank 2001 Ecology_16","","Augustine and Frank 2001 Ecology","Effects of Migratory Grazers on Spatial Heterogeneity of Soil Nitrogen Properties in a Grassland Ecosystem","","inside vs outside exclosure","high vs low",44.82258,-110.547123,"Northern Yellowstone National Park","Bison bison; Cervus canadensis; Antilocapra americana; Odocoileus hemionus","Native","Table 1","soil","Extractable mineral n","Nutrients","","Soil",1,"N","Labile_N","experiment_7050","Mean","SE","2.73","0.81",25,"3.2","1.36",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients Soil",4.05,6.8,-0.0826602515123241,0.0800683271718008,-0.158849200608813,0.268657846274605,"Ecosystem","Soil_Labile_N","Native",NA,"site_118"
"Augustine and Frank 2001 Ecology_2","","Augustine and Frank 2001 Ecology","Effects of Migratory Grazers on Spatial Heterogeneity of Soil Nitrogen Properties in a Grassland Ecosystem","","inside vs outside exclosure","high vs low",44.82258,-110.547123,"Northern Yellowstone National Park","Bison bison; Cervus canadensis; Antilocapra americana; Odocoileus hemionus","Native","Table 1","soil","Extractable mineral n","Nutrients","","Soil",1,"N","Labile_N","experiment_7044","Mean","SE","8.92","6.17",25,"5.03","1.6",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients Soil",30.85,8,0.169900818126644,0.080288662880001,0.57287596248027,0.579636644630195,"Ecosystem","Soil_Labile_N","Native",NA,"site_118"
"Augustine and Frank 2001 Ecology_8","","Augustine and Frank 2001 Ecology","Effects of Migratory Grazers on Spatial Heterogeneity of Soil Nitrogen Properties in a Grassland Ecosystem","","inside vs outside exclosure","high vs low",44.82258,-110.547123,"Northern Yellowstone National Park","Bison bison; Cervus canadensis; Antilocapra americana; Odocoileus hemionus","Native","Table 1","soil","Total nitrogen","Nutrients","","Soil",1,"N","Total_N","experiment_7046","Mean","SE","0.2","0.02",25,"0.17","0.05",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients Soil",0.1,0.25,0.155090664484958,0.0802405311421039,0.162518929497775,0.0965051903114187,"Ecosystem","Soil_Total_N","Native",NA,"site_118"
"Augustine and Frank 2001 Ecology_9","","Augustine and Frank 2001 Ecology","Effects of Migratory Grazers on Spatial Heterogeneity of Soil Nitrogen Properties in a Grassland Ecosystem","","inside vs outside exclosure","high vs low",44.82258,-110.547123,"Northern Yellowstone National Park","Bison bison; Cervus canadensis; Antilocapra americana; Odocoileus hemionus","Native","Table 1","soil","Extractable mineral n","Nutrients","","Soil",1,"N","Labile_N","experiment_7047","Mean","SE","4.26","1.55",25,"2.98","0.98",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients Soil",7.75,4.9,0.194319504320728,0.0803776006975945,0.357345859763966,0.240534933287395,"Ecosystem","Soil_Labile_N","Native",NA,"site_118"
"Augustine et al. 2019 Ecology and Evolution_1","","Augustine et al. 2019 Ecology and Evolution","Large herbivores maintain a two-phase herbaceous vegetation mosaic in a semi-arid savanna","","inside vs outside exclosure","high vs low",0.278595,36.905739,"Mpala Research Centre, Kenya","Loxodonta africana; Aepyceros melampus; Madoqua guentheri; Equus quagga; Equus grevyi; Kobus ellipsiprymnus; Syncerus caffer","Native","Figure 2","soil","Bare ground cover","Structure","","bare ground cover",6205,"","","experiment_5908","Mean","SE","0.603","0.062",54,"0.268","0.093",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Structure bare ground cover",0.455605092157671,0.683407638236507,0.572713279246004,0.0385555578714107,0.810930216216329,0.130991153959335,"Ecosystem","Bare_Ground","Native","Intact_Africa","site_227"
"Bagchi and Ritchie 2010_1","","Bagchi and Ritchie 2010","Introduced grazers can restrict potential soil carbon sequestration through impacts on plant community composition","","inside vs outside exclosure","high vs low",32.622927,77.250199,"Spiti region of northern India","Bos mutus; Pseudois nayaur; Capra sibirica","Native","Figure 2","soil","Soil c","Nutrients","","Soil",1,"C","Total_C","experiment_7041","Mean","SE","1.957","0.124",3,"1.973","0.139",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nutrients Soil",0.214774300138541,0.240755062252074,-0.0559588075774496,0.666927615678791,-0.00814253862653913,0.00897813573645114,"Ecosystem","Soil_Total_C","Native",NA,"site_95"
"Bagchi and Ritchie 2010_3","","Bagchi and Ritchie 2010","Introduced grazers can restrict potential soil carbon sequestration through impacts on plant community composition","","inside vs outside exclosure","high vs low",32.622927,77.250199,"Spiti region of northern India","Bos mutus; Pseudois nayaur; Capra sibirica","Native","Figure 2","vegetation","Belowground net primary productivity","Total","Higher_level","total",1,"","","experiment_1857","Mean","SE","555.031","113.208",3,"712.264","94.34",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total total",196.082007823257,163.401673186048,-0.695100094739742,0.706930345142267,-0.249424661162087,0.059145769221991,"Ecosystem","Primary_Productivity","Native",NA,"site_95"
